time,open,high,low,close,Volume,Volume MA
2020-01-24T21:00:00-03:00,8435.83,8437.47,8252.72,8329.5,2812.78995216,6929.102308536569
2020-01-25T21:00:00-03:00,8320,8600,8276.22,8590.48,6340.58577579,6909.717458410569
2020-01-26T21:00:00-03:00,8600,9004.35,8546.55,8894.54,9619.7747426,6782.790054921568
2020-01-27T21:00:00-03:00,8894.57,9413.24,8876,9400,9565.55935515,6665.406398583068
2020-01-28T21:00:00-03:00,9386.57,9443.96,9215.5,9289.18,6481.91594603,6691.639983895568
2020-01-29T21:00:00-03:00,9280.83,9570,9166.07,9500,7945.15877894,6638.898509999068
2020-01-30T21:00:00-03:00,9510.84,9529.35,9195.93,9327.85,5009.62230695,6699.963259666567
2020-01-31T21:00:00-03:00,9339.26,9464.16,9280.33,9377.17,1669.00246242,6680.609045103067
2020-02-01T21:00:00-03:00,9379.6,9474.28,9135,9329.39,3015.79158859,6630.826669710567
2020-02-02T21:00:00-03:00,9309.69,9615,9211.07,9288.09,4758.13350441,6018.261748240067
2020-02-03T21:00:00-03:00,9281,9348.6,9075,9159.37,4867.22545881,5831.278851212568
2020-02-04T21:00:00-03:00,9168.49,9775,9142.52,9618.42,8063.96793828,5898.814324306567
2020-02-05T21:00:00-03:00,9617.84,9859.57,9521,9754.63,7554.48867469,5808.380811719067
2020-02-06T21:00:00-03:00,9754.63,9878,9706.94,9803.42,4013.49096731,5825.154896777068
2020-02-07T21:00:00-03:00,9803.71,9948.97,9658.58,9902,3268.73554695,5549.319177774569
2020-02-08T21:00:00-03:00,9907.7,10178.54,9885.04,10173.97,4830.33787739,5569.826159034568
2020-02-09T21:00:00-03:00,10173.51,10199.85,9731.2,9850.01,7560.66789084,5778.125095574069
2020-02-10T21:00:00-03:00,9851.99,10383.9,9706.94,10268.98,8127.59636283,6027.314307550068
2020-02-11T21:00:00-03:00,10270.98,10495,10247.35,10348.78,6553.40942709,5924.4342395245685
2020-02-12T21:00:00-03:00,10348.78,10500.5,10068,10228.67,9347.45128374,6070.285292048568
2020-02-13T21:00:00-03:00,10229.19,10398,10093.26,10364.04,6190.37749036,6239.164668958568
2020-02-14T21:00:00-03:00,10364.04,10408.04,9739,9899.78,5762.30634481,6210.250697409569
2020-02-15T21:00:00-03:00,9909.71,10051.24,9598.49,9912.89,4133.47675014,5935.935797786568
2020-02-16T21:00:00-03:00,9925.96,9973.45,9467.57,9697.15,5913.20492551,5753.318076304568
2020-02-17T21:00:00-03:00,9725.57,10288,9602.6,10185.17,6754.35394103,5766.939976054568
2020-02-18T21:00:00-03:00,10190.3,10300,9312,9595.72,9936.8206814,5866.5230711775675
2020-02-19T21:00:00-03:00,9589.1,9706.27,9396.91,9612.76,6608.4910792,5946.466509790068
2020-02-20T21:00:00-03:00,9610.4,9773.2,9562.6,9696.13,4271.47074293,6076.589923815568
2020-02-21T21:00:00-03:00,9696.13,9722.39,9568.51,9668.13,2096.56353593,6030.628521182569
2020-02-22T21:00:00-03:00,9664.08,10024.08,9664.08,9965.21,3329.22433648,5959.183062786068
2020-02-23T21:00:00-03:00,9969.79,10027.66,9480,9652.58,5877.00770771,6009.672175231068
2020-02-24T21:00:00-03:00,9664.87,9682.73,9234.21,9305.4,6280.00295543,5920.473926088568
2020-02-25T21:00:00-03:00,9305.4,9369.99,8627.78,8779.36,11564.19794381,6120.959389544568
